name,market,funding_total_usd,country_code,region,city,funding_rounds,founded_month,founded_quarter,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,age_first_funding,age_last_funding,status_binary,total_investment
Tailgate Technologies,E-Commerce ,-   ,GBR,London,London,1.0,7.0,3.0,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5178082191780822,0.5178082191780822,0,0.0
Taking Point,Other," 20,20,593 ",USA,Phoenix,Scottsdale,2.0,9.0,3.0,2009.0,0.0,0.0,0.0,0.0,0.0,2020593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.712328767123288,2.8164383561643835,0,2020593.0
Talasim,Other," 73,350 ",JOR,Amman,Amman,1.0,12.0,4.0,2005.0,73350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.819178082191781,3.819178082191781,0,73350.0
Talbot Holdings,Other,-   ,BMU,Bermuda,Hamilton,1.0,1.0,1.0,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.835616438356164,3.835616438356164,1,0.0
TalentSpring,Other," 27,00,000 ",USA,Seattle,Seattle,1.0,10.0,4.0,2006.0,2700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0383561643835617,3.0383561643835617,1,2700000.0
Talenz,Curated Web ," 50,000 ",SGP,Singapore,Singapore,1.0,1.0,1.0,2008.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,50000.0
Talicious,Other," 10,000 ",GBR,London,London,1.0,3.0,1.0,2006.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010958904109589,0,10000.0
TalkBin,Messaging ,-   ,USA,SF Bay Area,Mountain View,1.0,8.0,3.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3342465753424657,0.3342465753424657,0,0.0
TalkPlus,Messaging ," 55,00,000 ",USA,SF Bay Area,San Mateo,1.0,2.0,1.0,2004.0,0.0,5500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.665753424657534,2.665753424657534,0,5500000.0
TalkTo,Messaging ," 30,00,000 ",USA,Boston,Cambridge,1.0,11.0,4.0,2010.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.443835616438356,1.443835616438356,1,3000000.0
Tamarac,Software ," 16,70,000 ",USA,Seattle,Seattle,1.0,1.0,1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1670000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.665753424657536,11.665753424657536,1,1670000.0
Tandem Transit,Other," 3,00,000 ",USA,New York City,Brooklyn,1.0,1.0,1.0,2008.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33972602739726,2.33972602739726,0,300000.0
Tangler,Other," 15,00,000 ",USA,SF Bay Area,Mountain View,1.0,2.0,1.0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.410958904109589,0.410958904109589,0,1500000.0
Tap.Me,Games ," 50,38,868 ",USA,Chicago,Chicago,4.0,6.0,2.0,2009.0,15000.0,4600000.0,0.0,0.0,0.0,423868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9534246575342464,2.734246575342466,1,5038868.0
Tapioca Mobile,Mobile ," 50,00,000 ",USA,San Diego,San Diego,2.0,1.0,1.0,2008.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2301369863013698,0,5000000.0
TapMetrics,Other,-   ,USA,Sacramento Valley,Chico,1.0,1.0,1.0,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2547945205479452,0.2547945205479452,1,0.0
TappIn,Other," 22,93,122 ",USA,San Antonio,San Antonio,2.0,1.0,1.0,2009.0,0.0,2078122.0,0.0,0.0,0.0,215000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2078122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2301369863013698,2.7616438356164386,1,2293122.0
TapPress,Other," 20,00,000 ",SOM,SOM - Other,Mogadishu,1.0,10.0,4.0,2010.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2000000.0
